CustomerID,Consumption
5113,1425.56
5328,106067.39
5381,138251.61
5433,30648.57
5443,88265.39
5474,5868.08
5476,82440.99
5585,2822.87
5983,51361.14
6158,99.24
6392,1286.45
6752,15892.77
6768,19892.34
6888,4567.89
6896,23456.78
6930,34567.89
6960,45678.90
7216,56789.01
7266,67890.12
7471,78901.23
7525,89012.34
7557,90123.45
7626,12345.67
7628,23456.78
7630,34567.89
7654,45678.90
7881,56789.01
7962,67890.12
8200,78901.23
8507,89012.34
8538,90123.45
8594,12345.67
8619,23456.78
8832,34567.89
9564,45678.90
9632,56789.01
10717,67890.12
10784,78901.23
10819,89012.34
10896,90123.45
11189,12345.67
11235,23456.78
11246,34567.89
11453,45678.90
11520,56789.01
11529,67890.12
11597,78901.23
11751,89012.34
12064,90123.45
12282,12345.67
12459,23456.78
12595,34567.89
12711,45678.90
12970,56789.01
13355,67890.12
13632,78901.23
13880,89012.34
13943,90123.45
14207,12345.67
14788,23456.78
15215,34567.89
15254,45678.90
15338,56789.01
15447,67890.12
15581,78901.23
15618,89012.34
15718,90123.45
15788,12345.67
16701,23456.78
16734,34567.89
17077,45678.90
17163,56789.01
17241,67890.12
17298,78901.23
18129,89012.34
18831,90123.45
18917,12345.67
19035,23456.78
19131,34567.89
19182,45678.90
19350,56789.01
19870,67890.12
19902,78901.23
19907,89012.34
20383,90123.45
20447,12345.67
20529,23456.78
20605,34567.89
21664,45678.90
23078,56789.01
23339,67890.12
23494,78901.23
23861,89012.34
23984,90123.45
24163,12345.67
24700,23456.78
24704,34567.89
24886,45678.90
25171,56789.01
25805,67890.12
26256,78901.23
26780,89012.34
27321,90123.45
28134,12345.67
28819,23456.78
29167,34567.89
29594,45678.90
30546,56789.01
30618,67890.12
30816,78901.23
30837,89012.34
30868,90123.45
31543,12345.67
31622,23456.78
32153,34567.89
32388,45678.90
32564,56789.01
32813,67890.12
33094,78901.23
34089,89012.34
34528,90123.45
35872,12345.67
36380,23456.78
38508,34567.89
38679,45678.90
39273,56789.01
39463,67890.12
39690,78901.23
39782,89012.34
40333,90123.45
41947,12345.67
42579,23456.78
42861,34567.89
43643,45678.90
44480,56789.01
44638,67890.12
44642,78901.23
44802,89012.34
45671,90123.45
45853,12345.67
45868,23456.78
46320,34567.89
46532,45678.90
46707,56789.01
46890,67890.12
46933,78901.23
47418,89012.34
47428,90123.45
47708,12345.67
48018,23456.78
48079,34567.89
48294,45678.90
49148,56789.01
